Artform,Year,Income,Age,Education
Musical,1982,41,20,3
Art Museum,1982,0,41,3
Jazz,1982,0,26,3
Classical,1982,0,26,3
Musical,1982,0,26,3
Ballet,1982,0,26,3
Art Museum,1982,0,26,3
Classical,1982,6,22,3
Art Museum,1982,6,22,3
Classical,1982,40,43,3
Art Museum,1982,40,43,3
Classical,1982,6,30,3
Musical,1982,6,30,3
Play,1982,6,30,3
Jazz,1982,41,38,6
Classical,1982,41,38,6
Musical,1982,41,38,6
Play,1982,41,38,6
Art Museum,1982,41,38,6
Classical,1982,25,70,3
Musical,1982,25,70,3
Art Museum,1982,25,70,3
Classical,1982,6,46,4
Classical,1982,6,45,4
Art Museum,1982,6,40,3
Jazz,1982,3,23,3
Classical,1982,3,23,3
Play,1982,3,23,3
Art Museum,1982,3,23,3
Classical,1982,41,54,5
Classical,1982,41,53,5
Art Museum,1982,41,22,6
Art Museum,1982,41,85,2
Musical,1982,41,62,2
Play,1982,41,62,2
Art Museum,1982,6,38,2
Classical,1982,6,39,2
Play,1982,6,39,2
Play,1982,25,72,6
Art Museum,1982,25,72,6
Play,1982,25,72,5
Art Museum,1982,25,72,5
Musical,1982,41,51,3
Play,1982,41,51,3
Art Museum,1982,41,51,3
Classical,1982,41,43,6
Opera,1982,41,43,6
Art Museum,1982,41,43,6
Opera,1982,41,42,5
Classical,1982,41,39,6
Classical,1982,41,33,6
Art Museum,1982,0,61,4
Classical,1982,17,58,4
Musical,1982,17,19,3
Play,1982,17,19,3
Art Museum,1982,41,24,3
Art Museum,1982,41,22,3
Art Museum,1982,7,48,2
Classical,1982,7,18,4
Jazz,1982,41,46,3
Musical,1982,41,19,4
Classical,1982,40,37,3
Art Museum,1982,40,37,3
Classical,1982,3,40,4
Musical,1982,3,40,4
Play,1982,3,40,4
Art Museum,1982,3,40,4
Jazz,1982,40,26,3
Art Museum,1982,40,26,3
Classical,1982,41,55,3
Ballet,1982,41,55,3
Art Museum,1982,41,55,3
Musical,1982,25,39,3
Play,1982,25,39,3
Art Museum,1982,25,39,3
Art Museum,1982,21,27,3
Classical,1982,24,66,1
Opera,1982,24,66,1
Musical,1982,24,66,1
Jazz,1982,25,22,4
Musical,1982,25,22,4
Art Museum,1982,25,22,4
Play,1982,7,23,5
Art Museum,1982,7,23,5
Play,1982,7,22,4
Art Museum,1982,7,22,4
Musical,1982,6,46,3
Art Museum,1982,41,39,5
Classical,1982,41,53,6
Musical,1982,41,53,6
Art Museum,1982,41,53,6
Classical,1982,41,18,4
Art Museum,1982,21,29,4
Jazz,1982,21,26,4
Classical,1982,21,26,4
Art Museum,1982,21,26,4
Art Museum,1982,41,30,5
Classical,1982,41,29,4
Opera,1982,41,29,4
Art Museum,1982,41,29,4
Jazz,1982,40,49,5
Ballet,1982,40,49,5
Art Museum,1982,40,49,5
Jazz,1982,6,58,1
Classical,1982,6,58,1
Opera,1982,6,58,1
Musical,1982,6,58,1
Musical,1982,0,66,3
Art Museum,1982,0,66,3
Musical,1982,0,56,3
Art Museum,1982,0,56,3
Jazz,1982,6,51,6
Musical,1982,6,51,6
Play,1982,6,51,6
Jazz,1982,6,21,4
Classical,1982,6,21,4
Musical,1982,6,21,4
Art Museum,1982,6,21,4
Classical,1982,6,20,4
Play,1982,6,20,4
Art Museum,1982,6,20,4
Art Museum,1982,0,44,3
Art Museum,1982,0,56,3
Art Museum,1982,41,24,4
Opera,1982,17,36,5
Musical,1982,17,36,5
Play,1982,17,36,5
Art Museum,1982,17,36,5
Classical,1982,41,64,6
Opera,1982,41,64,6
Musical,1982,41,64,6
Art Museum,1982,41,64,6
Opera,1982,41,65,6
Musical,1982,41,65,6
Play,1982,41,65,6
Art Museum,1982,41,65,6
Jazz,1982,41,27,6
Classical,1982,41,27,6
Opera,1982,41,27,6
Play,1982,41,27,6
Ballet,1982,41,27,6
Art Museum,1982,41,27,6
Musical,1982,17,57,5
Art Museum,1982,17,51,3
Art Museum,1982,41,56,5
Jazz,1982,23,34,4
Classical,1982,23,34,4
Play,1982,23,34,4
Art Museum,1982,23,34,4
Play,1982,22,55,3
Musical,1982,17,34,5
Play,1982,17,34,5
Art Museum,1982,17,34,5
Musical,1982,17,37,5
Art Museum,1982,17,37,5
Musical,1982,41,37,5
Musical,1982,41,36,5
Jazz,1982,41,40,3
Art Museum,1982,41,40,3
Jazz,1982,41,37,4
Musical,1982,41,37,4
Art Museum,1982,41,37,4
Jazz,1982,24,24,5
Classical,1982,24,24,5
Musical,1982,24,24,5
Ballet,1982,24,24,5
Art Museum,1982,24,24,5
Jazz,1982,24,23,3
Art Museum,1982,24,23,3
Jazz,1982,41,32,6
Art Museum,1982,41,32,6
Musical,1982,24,30,3
Musical,1982,41,38,3
Play,1982,17,34,6
Musical,1982,17,34,6
Play,1982,17,34,6
Art Museum,1982,17,34,6
Art Museum,1982,41,42,4
Jazz,1982,24,19,3
Classical,1982,24,19,3
Art Museum,1982,24,19,3
Musical,1982,40,57,2
Play,1982,40,57,2
Art Museum,1982,40,57,2
Classical,1982,40,41,3
Opera,1982,40,41,3
Art Museum,1982,40,41,3
Classical,1982,40,34,3
Classical,1982,6,36,3
Musical,1982,6,36,3
